cell_id,well_id,well_name,well_column,well_row,cellline_name,cell_last_tp,cell_event,well_id,well_drug_name,well_drug_concentration,well_drug_concentration_units
6633172,69761,G01,1,7,ND50010,10,FALSE,69761,VRG0024,0.012,uM
6633173,69761,G01,1,7,ND50010,2,TRUE,69761,VRG0024,0.012,uM
6633174,69761,G01,1,7,ND50010,10,FALSE,69761,VRG0024,0.012,uM
6633175,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633176,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633177,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633178,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633179,69761,G01,1,7,ND50010,2,TRUE,69761,VRG0024,0.012,uM
6633180,69761,G01,1,7,ND50010,2,TRUE,69761,VRG0024,0.012,uM
6633181,69761,G01,1,7,ND50010,3,TRUE,69761,VRG0024,0.012,uM
6633182,69761,G01,1,7,ND50010,2,TRUE,69761,VRG0024,0.012,uM
6633183,69761,G01,1,7,ND50010,2,TRUE,69761,VRG0024,0.012,uM
6633184,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633185,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633186,69761,G01,1,7,ND50010,10,FALSE,69761,VRG0024,0.012,uM
6633187,69761,G01,1,7,ND50010,10,FALSE,69761,VRG0024,0.012,uM
6633188,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633189,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633190,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633191,69761,G01,1,7,ND50010,2,TRUE,69761,VRG0024,0.012,uM
6633192,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633193,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633194,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633195,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633196,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633197,69761,G01,1,7,ND50010,3,TRUE,69761,VRG0024,0.012,uM
6633198,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633199,69761,G01,1,7,ND50010,3,TRUE,69761,VRG0024,0.012,uM
6633200,69761,G01,1,7,ND50010,2,TRUE,69761,VRG0024,0.012,uM
6633201,69761,G01,1,7,ND50010,10,FALSE,69761,VRG0024,0.012,uM
6633202,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633203,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633204,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633205,69761,G01,1,7,ND50010,2,TRUE,69761,VRG0024,0.012,uM
6633206,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633207,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633208,69761,G01,1,7,ND50010,2,TRUE,69761,VRG0024,0.012,uM
6633209,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633210,69761,G01,1,7,ND50010,10,FALSE,69761,VRG0024,0.012,uM
6633211,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633212,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633213,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633214,69761,G01,1,7,ND50010,2,TRUE,69761,VRG0024,0.012,uM
6633215,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633216,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633217,69761,G01,1,7,ND50010,10,FALSE,69761,VRG0024,0.012,uM
6633218,69761,G01,1,7,ND50010,3,TRUE,69761,VRG0024,0.012,uM
6633219,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633220,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633221,69761,G01,1,7,ND50010,10,FALSE,69761,VRG0024,0.012,uM
6633222,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
6633223,69761,G01,1,7,ND50010,10,FALSE,69761,VRG0024,0.012,uM
6633224,69761,G01,1,7,ND50010,1,TRUE,69761,VRG0024,0.012,uM
